Bay,Date,Month,Day,Year,J_date,set,Site,Species,Length,weight,hatch.wild,oto.read,hatch.site,freezer.num,origin.certain,Fultons.K
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,32,0.2219,wild,n,.,.,y,0.68
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,32,0.2223,wild,n,.,.,y,0.68
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,32,0.2237,wild,n,.,.,y,0.68
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,32,0.2238,wild,n,.,.,y,0.68
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,32,0.2251,wild,n,.,.,y,0.69
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,32,0.2268,wild,n,.,.,y,0.69
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,32,0.2277,wild,n,.,.,y,0.69
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,32,0.2299,wild,n,.,.,y,0.70
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,32,0.2382,wild,n,.,.,y,0.73
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,32,0.2399,wild,n,.,.,y,0.73
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,32,0.2413,wild,n,.,.,y,0.74
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,32,0.2437,wild,n,.,.,y,0.74
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,32,0.2543,wild,n,.,.,y,0.78
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,32,0.257,wild,n,.,.,y,0.78
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,32,0.2604,wild,n,.,.,y,0.79
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,32,0.2703,wild,n,.,.,y,0.82
