Bay,Date,Month,Day,Year,J_date,set,Site,Species,Length,weight,hatch.wild,oto.read,hatch.site,freezer.num,origin.certain,Fultons.K
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,35,0.3085,hatchery,n,Kitoi-KRAA,.,y,0.72
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,35,0.3088,hatchery,n,Kitoi-KRAA,.,y,0.72
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,35,0.3092,hatchery,n,Kitoi-KRAA,.,y,0.72
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,35,0.3105,hatchery,n,Kitoi-KRAA,.,y,0.72
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,35,0.3169,hatchery,n,Kitoi-KRAA,.,y,0.74
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,35,0.3187,hatchery,n,Kitoi-KRAA,.,y,0.74
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,35,0.3306,hatchery,n,Kitoi-KRAA,.,y,0.77
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,35,0.3549,hatchery,n,Kitoi-KRAA,.,y,0.83
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,35,0.3609,hatchery,n,Kitoi-KRAA,.,y,0.84
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,35,0.2221,wild,n,.,.,y,0.52
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,35,0.2323,wild,n,.,.,y,0.54
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,35,0.2476,wild,n,.,.,y,0.58
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,35,0.2497,wild,n,.,.,y,0.58
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,35,0.2508,wild,n,.,.,y,0.58
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,35,0.2534,wild,n,.,.,y,0.59
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,35,0.2636,wild,n,.,.,y,0.61
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,35,0.2735,wild,n,.,.,y,0.64
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,35,0.2742,wild,n,.,.,y,0.64
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,35,0.2745,wild,n,.,.,y,0.64
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,35,0.2767,wild,n,.,.,y,0.65
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,35,0.2777,wild,n,.,.,y,0.65
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,35,0.2794,wild,n,.,.,y,0.65
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,35,0.2861,wild,n,.,.,y,0.67
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,35,0.2864,wild,n,.,.,y,0.67
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,35,0.2879,wild,n,.,.,y,0.67
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,35,0.2886,wild,n,.,.,y,0.67
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,35,0.292,wild,n,.,.,y,0.68
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,35,0.2933,wild,n,.,.,y,0.68
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,35,0.2953,wild,n,.,.,y,0.69
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,35,0.3065,wild,n,.,.,y,0.71
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,35,0.3116,wild,n,.,.,y,0.73
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,35,0.3259,wild,n,.,.,y,0.76
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,35,0.3281,wild,n,.,.,y,0.77
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,35,0.3418,wild,n,.,.,y,0.80
Chief Cove,5/11/2023,May,11,2023,131,454,CH-2,pink salmon,35,0.2571,wild,n,.,.,y,0.60
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,35,0.276,wild,n,.,.,y,0.64
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,35,0.2914,wild,n,.,.,y,0.68
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,35,0.2968,wild,n,.,.,y,0.69
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,35,0.3123,wild,n,.,.,y,0.73
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,35,0.3129,wild,n,.,.,y,0.73
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,35,0.3147,wild,n,.,.,y,0.73
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,35,0.3312,wild,n,.,.,y,0.77
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,35,0.3327,wild,n,.,.,y,0.78
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,35,0.3459,wild,n,.,.,y,0.81
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,35,0.3504,wild,n,.,.,y,0.82
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,35,0.3831,wild,n,.,.,y,0.89
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,35,0.4679,wild,n,.,.,y,1.09
Kiliuda,5/12/2023,May,12,2023,132,459,Kil-5,pink salmon,35,0.2334,wild,n,.,.,y,0.54
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,35,0.2797,wild,n,.,.,y,0.65
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,35,0.2896,wild,n,.,.,y,0.68
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,35,0.2948,wild,n,.,.,y,0.69
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,35,0.2975,wild,n,.,.,y,0.69
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,35,0.2993,wild,n,.,.,y,0.70
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,35,0.312,wild,n,.,.,y,0.73
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,35,0.3173,wild,n,.,.,y,0.74
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,35,0.3212,wild,n,.,.,y,0.75
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,35,0.3395,wild,n,.,.,y,0.79
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,35,0.3418,wild,n,.,.,y,0.80
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,35,0.3777,wild,n,.,.,y,0.88
Rodman Reach,5/17/2022,May,17,2022,137,349,RR-3,pink salmon,36,0.293,wild,n,.,.,y,0.63
Rodman Reach,5/17/2022,May,17,2022,137,349,RR-3,pink salmon,36,0.343,wild,n,.,.,y,0.74
Cook,5/19/2022,May,19,2022,139,354,EG South,pink salmon,36,0.3063,wild,n,.,.,y,0.66
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,36,0.3882,wild,n,.,.,y,0.83
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,36,0.416,wild,n,.,.,y,0.89
Chief Cove,5/22/2022,May,22,2022,142,360,CH-2,pink salmon,36,0.3962,wild,n,.,.,y,0.85
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,36,0.408,wild,n,.,.,y,0.87
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,36,0.4098,wild,n,.,.,y,0.88
Chief Cove,5/22/2022,May,22,2022,142,360,CH-2,pink salmon,36,0.4645,wild,n,.,.,y,1.00
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,36,0.3917,wild,n,.,.,y,0.84
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,36,0.4154,wild,n,.,.,y,0.89
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,36,0.4177,wild,n,.,.,y,0.90
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,36,0.4463,wild,n,.,.,y,0.96
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,36,0.2987,hatchery,n,Kitoi-KRAA,.,y,0.64
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,36,0.3203,hatchery,n,Kitoi-KRAA,.,y,0.69
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,36,0.327,hatchery,n,Kitoi-KRAA,.,y,0.70
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,36,0.344,hatchery,n,Kitoi-KRAA,.,y,0.74
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,36,0.3564,hatchery,n,Kitoi-KRAA,.,y,0.76
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,36,0.3582,hatchery,n,Kitoi-KRAA,.,y,0.77
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,36,0.2385,wild,n,.,.,y,0.51
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,36,0.2683,wild,n,.,.,y,0.58
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,36,0.2692,wild,n,.,.,y,0.58
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,36,0.2818,wild,n,.,.,y,0.60
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,36,0.2833,wild,n,.,.,y,0.61
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,36,0.2865,wild,n,.,.,y,0.61
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,36,0.2902,wild,n,.,.,y,0.62
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,36,0.297,wild,n,.,.,y,0.64
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,36,0.3054,wild,n,.,.,y,0.65
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,36,0.3112,wild,n,.,.,y,0.67
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,36,0.335,wild,n,.,.,y,0.72
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,36,0.3425,wild,n,.,.,y,0.73
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,36,0.3561,wild,n,.,.,y,0.76
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,36,0.2974,wild,n,.,.,y,0.64
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,36,0.3103,wild,n,.,.,y,0.67
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,36,0.3306,wild,n,.,.,y,0.71
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,36,0.3351,wild,n,.,.,y,0.72
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,36,0.337,wild,n,.,.,y,0.72
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,36,0.3587,wild,n,.,.,y,0.77
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,36,0.3764,wild,n,.,.,y,0.81
Chief Cove,5/11/2023,May,11,2023,131,453,CH-1,pink salmon,36,0.4718,wild,n,.,.,y,1.01
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,36,0.3207,wild,n,.,.,y,0.69
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,36,0.3422,wild,n,.,.,y,0.73
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,36,0.3641,wild,n,.,.,y,0.78
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,36,0.4304,wild,n,.,.,y,0.92
Cook,6/12/2022,June,12,2022,163,375,Lam South,pink salmon,37,0.4166,wild,n,.,.,y,0.82
Cook,6/5/2023,June,5,2023,156,468,Lam North,pink salmon,37,0.4415,wild,y,.,23-007,y,0.87
Rodman Reach,5/17/2022,May,17,2022,137,349,RR-3,pink salmon,37,0.3196,wild,n,.,.,y,0.63
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,37,0.3733,wild,n,.,.,y,0.74
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,37,0.3742,wild,n,.,.,y,0.74
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,37,0.402,wild,n,.,.,y,0.79
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,37,0.4764,wild,n,.,.,y,0.94
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,37,0.4296,wild,n,.,.,y,0.85
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,37,0.523,wild,n,.,.,y,1.03
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,37,0.5455,wild,n,.,.,y,1.08
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,37,0.432,wild,n,.,.,y,0.85
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,37,0.4485,wild,n,.,.,y,0.89
Kiliuda,5/24/2022,May,24,2022,144,366,Kil-4,pink salmon,37,0.4973,wild,n,.,.,y,0.98
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,37,0.3338,hatchery,n,Kitoi-KRAA,.,y,0.66
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,37,0.343,hatchery,n,Kitoi-KRAA,.,y,0.68
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,37,0.3504,hatchery,n,Kitoi-KRAA,.,y,0.69
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,37,0.3613,hatchery,n,Kitoi-KRAA,.,y,0.71
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,37,0.3736,hatchery,n,Kitoi-KRAA,.,y,0.74
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,37,0.374,hatchery,n,Kitoi-KRAA,.,y,0.74
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,37,0.3855,hatchery,n,Kitoi-KRAA,.,y,0.76
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,37,0.4202,hatchery,n,Kitoi-KRAA,.,y,0.83
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,37,0.4437,hatchery,n,Kitoi-KRAA,.,y,0.88
Rodman Reach,5/9/2023,May,9,2023,129,448,RR-4,pink salmon,37,0.2776,wild,n,.,.,y,0.55
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,37,0.3485,wild,n,.,.,y,0.69
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,37,0.3523,wild,n,.,.,y,0.70
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,37,0.32,wild,n,.,.,y,0.63
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,37,0.322,wild,n,.,.,y,0.64
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,37,0.3404,wild,n,.,.,y,0.67
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,37,0.3507,wild,n,.,.,y,0.69
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,37,0.3806,wild,n,.,.,y,0.75
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,37,0.3934,wild,n,.,.,y,0.78
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,37,0.4823,wild,n,.,.,y,0.95
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,37,0.2987,wild,n,.,.,y,0.59
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,37,0.3971,wild,n,.,.,y,0.78
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,37,0.3977,wild,n,.,.,y,0.79
Rodman Reach,5/17/2022,May,17,2022,137,349,RR-3,pink salmon,38,0.4317,wild,n,.,.,y,0.79
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,38,0.3829,wild,n,.,.,y,0.70
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,38,0.3902,wild,n,.,.,y,0.71
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,38,0.4595,wild,n,.,.,y,0.84
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,38,0.4654,wild,n,.,.,y,0.85
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,38,0.5271,wild,n,.,.,y,0.96
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,38,0.5468,wild,n,.,.,y,1.00
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,38,0.4238,wild,n,.,.,y,0.77
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,38,0.4656,wild,n,.,.,y,0.85
Chief Cove,5/22/2022,May,22,2022,142,360,CH-2,pink salmon,38,0.4786,wild,n,.,.,y,0.87
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,38,0.5345,wild,n,.,.,y,0.97
Kiliuda,5/24/2022,May,24,2022,144,366,Kil-4,pink salmon,38,0.469,wild,n,.,.,y,0.85
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,38,0.5319,wild,n,.,.,y,0.97
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,38,0.5819,wild,n,.,.,y,1.06
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,38,0.3611,hatchery,n,Kitoi-KRAA,.,y,0.66
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,38,0.3737,hatchery,n,Kitoi-KRAA,.,y,0.68
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,38,0.4108,hatchery,n,Kitoi-KRAA,.,y,0.75
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,38,0.4118,hatchery,n,Kitoi-KRAA,.,y,0.75
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,38,0.4245,hatchery,n,Kitoi-KRAA,.,y,0.77
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,38,0.4365,hatchery,n,Kitoi-KRAA,.,y,0.80
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,38,0.4601,hatchery,n,Kitoi-KRAA,.,y,0.84
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,38,0.4968,hatchery,n,Kitoi-KRAA,.,y,0.91
Cook,5/8/2023,May,8,2023,128,444,Lam North,pink salmon,38,0.3351,wild,n,.,.,y,0.61
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,38,0.3385,wild,n,.,.,y,0.62
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,38,0.3375,wild,n,.,.,y,0.62
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,38,0.3973,wild,n,.,.,y,0.72
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,38,0.4412,wild,n,.,.,y,0.80
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,38,0.3345,wild,n,.,.,y,0.61
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,38,0.3376,wild,n,.,.,y,0.62
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,38,0.3764,wild,n,.,.,y,0.69
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,38,0.3811,wild,n,.,.,y,0.69
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,38,0.3957,wild,n,.,.,y,0.72
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,38,0.4014,wild,n,.,.,y,0.73
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,38,0.4222,wild,n,.,.,y,0.77
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,38,0.4424,wild,n,.,.,y,0.81
Cook,6/5/2023,June,5,2023,156,468,Lam North,pink salmon,39,0.3951,wild,y,.,23-006,y,0.67
Rodman Reach,5/17/2022,May,17,2022,137,348,RR-4,pink salmon,39,0.3747,wild,n,.,.,y,0.63
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,39,0.4811,wild,n,.,.,y,0.81
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,39,0.4672,wild,n,.,.,y,0.79
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,39,0.5309,wild,n,.,.,y,0.89
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,39,0.5452,wild,n,.,.,y,0.92
Kiliuda,5/24/2022,May,24,2022,144,366,Kil-4,pink salmon,39,0.5535,wild,n,.,.,y,0.93
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,39,0.4206,hatchery,n,Kitoi-KRAA,.,y,0.71
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,39,0.4301,hatchery,n,Kitoi-KRAA,.,y,0.73
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,39,0.4317,hatchery,n,Kitoi-KRAA,.,y,0.73
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,39,0.4477,hatchery,n,Kitoi-KRAA,.,y,0.75
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,39,0.4797,hatchery,n,Kitoi-KRAA,.,y,0.81
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,39,0.4819,hatchery,n,Kitoi-KRAA,.,y,0.81
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,39,0.3957,wild,n,.,.,y,0.67
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,39,0.4258,wild,n,.,.,y,0.72
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,39,0.3978,wild,n,.,.,y,0.67
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,39,0.4986,wild,n,.,.,y,0.84
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,39,0.4323,wild,n,.,.,y,0.73
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,39,0.4424,wild,n,.,.,y,0.75
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,39,0.4515,wild,n,.,.,y,0.76
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,40,0.579,wild,n,.,.,y,0.90
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,40,0.5641,wild,n,.,.,y,0.88
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,40,0.5385,wild,n,.,.,y,0.84
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,40,0.5883,wild,n,.,.,y,0.92
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,40,0.474,hatchery,n,Kitoi-KRAA,.,y,0.74
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,40,0.4903,hatchery,n,Kitoi-KRAA,.,y,0.77
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,40,0.5006,hatchery,n,Kitoi-KRAA,.,y,0.78
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,40,0.4804,wild,n,.,.,y,0.75
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,40,0.4634,wild,n,.,.,y,0.72
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,40,0.514,wild,n,.,.,y,0.80
Cook,6/5/2023,June,5,2023,156,468,Lam North,pink salmon,41,0.6564,wild,y,.,23-009,y,0.95
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,41,0.5538,wild,n,.,.,y,0.80
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,41,0.5713,wild,n,.,.,y,0.83
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,41,0.6305,wild,n,.,.,y,0.91
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,41,0.6332,wild,n,.,.,y,0.92
Chief Cove,5/22/2022,May,22,2022,142,360,CH-2,pink salmon,41,0.653,wild,n,.,.,y,0.95
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,41,0.5168,wild,n,.,.,y,0.75
Kiliuda,5/24/2022,May,24,2022,144,366,Kil-4,pink salmon,41,0.5857,wild,n,.,.,y,0.85
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,41,0.5898,wild,n,.,.,y,0.86
Kiliuda,5/24/2022,May,24,2022,144,366,Kil-4,pink salmon,41,0.6702,wild,n,.,.,y,0.97
Kiliuda,5/24/2022,May,24,2022,144,366,Kil-4,pink salmon,41,0.7209,wild,n,.,.,y,1.05
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,41,0.4711,hatchery,n,Kitoi-KRAA,.,y,0.68
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,41,0.507,hatchery,n,Kitoi-KRAA,.,y,0.74
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,41,0.4433,wild,n,.,.,y,0.64
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,41,0.4809,wild,n,.,.,y,0.70
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,41,0.5406,wild,n,.,.,y,0.78
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,41,0.5355,wild,n,.,.,y,0.78
Point Wrangell,7/6/2022,July,6,2022,187,388,.,pink salmon,42,0.6109,hatchery,y,unsure,22-74,y,0.82
Cook,6/5/2023,June,5,2023,156,467,EG West,pink salmon,42,0.7039,wild,y,.,23-001,y,0.95
Cook,5/19/2022,May,19,2022,139,354,EG South,pink salmon,42,0.5317,wild,n,.,.,y,0.72
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,42,0.6243,wild,n,.,.,y,0.84
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,42,0.6952,wild,n,.,.,y,0.94
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,42,0.5422,wild,n,.,.,y,0.73
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,42,0.574,wild,n,.,.,y,0.77
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,42,0.6045,wild,n,.,.,y,0.82
Chief Cove,5/22/2022,May,22,2022,142,360,CH-2,pink salmon,42,0.7619,wild,n,.,.,y,1.03
Chief Cove,5/22/2022,May,22,2022,142,360,CH-2,pink salmon,42,0.9533,wild,n,.,.,y,1.29
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,42,0.6211,wild,n,.,.,y,0.84
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,42,0.6298,wild,n,.,.,y,0.85
